0,1,1,1,0,7467,2020,18,1,4,2,7999,166,13,9156,14941,18,5,6,0,8741,22,12,5160,173,13,0,7,1,6086,147,12,8982,147,7,5,8,3,7905,131,10,4355,111,20,1,6,8,5077,16,8,0
1,0,0,0,1,10989,5433,13,9,3,5,10376,156,13,13352,6266,18,11,1,6,10711,37,14,18839,13010,20,9,1,6,9586,144,14,5100,6285,22,0,4,11,7028,120,11,8497,7062,36,2,4,16,6831,11,11,1
0,1,1,1,1,32362,38861,35,18,3,16,17847,58,17,11494,2672,80,5,8,14,9293,35,13,23667,21773,31,5,5,20,12950,174,16,18453,11837,32,9,5,9,14351,207,17,22355,2425,36,8,7,15,12406,149,16,1
1,0,0,0,0,31168,8606,32,10,9,5,14081,212,15,25228,15191,33,8,11,8,13278,47,15,17866,0,19,4,8,12,10143,179,14,5553,925,77,1,8,16,7055,27,12,22586,961,19,5,9,12,9748,142,14,0
0,0,0,0,0,11948,6180,13,1,7,5,9907,202,15,14065,7191,28,2,2,4,9342,30,14,13650,2176,15,4,6,1,8748,161,14,10714,2727,17,5,4,3,11139,220,13,5280,0,58,2,5,6,6125,29,11,0
1,1,1,1,1,25016,18000,26,14,0,0,17032,242,17,5871,34390,22,2,2,7,8672,10,14,24253,331,15,5,5,2,11027,214,16,14778,18823,24,3,3,8,12293,213,15,7331,3383,33,0,4,12,7491,36,13,1
0,0,1,0,1,24372,4606,36,3,4,10,12666,207,17,34780,67905,56,5,4,13,16193,87,18,39193,32034,45,6,3,13,18166,331,18,38794,30856,54,11,4,9,19153,298,18,10151,5921,92,2,2,23,11157,46,16,1
1,1,0,1,0,26185,25688,43,7,5,3,18808,302,18,26260,28345,39,3,4,6,13968,65,18,15953,7036,46,3,5,2,15303,310,18,5332,6056,103,1,6,6,9276,44,14,21173,10175,52,3,7,7,15665,282,16,0
0,0,1,1,1,15976,9559,25,10,4,6,13512,211,15,16407,12523,32,9,2,11,12711,197,14,15009,40642,23,12,5,12,12882,25,15,16886,3369,14,2,4,27,10001,151,15,18832,2219,81,6,2,22,9221,36,13,1
1,1,0,0,0,18045,6759,22,4,6,3,10434,186,14,17107,10964,25,7,11,7,10812,4,13,13104,8059,9,2,9,5,9274,187,13,9937,761,21,1,6,1,8139,156,12,5630,0,40,3,8,8,7131,37,11,0
0,0,0,0,1,16070,5680,36,4,4,8,12454,242,18,15428,38453,29,8,6,8,13385,32,17,21789,5935,32,2,8,15,10929,139,16,7536,689,79,3,6,14,8770,36,14,27654,31845,58,10,3,7,17876,295,18,1
1,1,1,1,0,16071,1124,33,6,3,5,11886,202,16,31112,17794,35,12,6,8,16383,79,17,16273,8056,31,7,9,5,12226,176,15,9266,5096,26,2,4,8,10515,199,14,5204,196,76,0,5,12,7027,34,12,0
0,0,0,1,0,11825,699,8,3,7,4,7767,155,12,5620,9468,23,3,3,6,8061,22,12,13544,176,15,7,4,1,9093,148,13,2666,42,37,1,6,3,4985,31,9,7792,0,9,3,5,3,7976,142,11,0
1,1,1,0,0,8420,4326,19,3,5,5,6732,108,13,5877,3201,26,2,2,5,8572,181,13,10913,10565,23,8,4,11,10089,19,13,17606,18227,15,10,3,5,11700,169,12,4328,3496,36,2,3,9,6418,22,10,1
0,1,0,1,0,6280,12878,20,1,5,3,7186,11,11,1945,903,33,0,3,2,4676,27,9,5940,1354,15,2,3,2,7813,164,11,10486,3941,13,5,6,0,9270,154,12,6574,1336,14,2,4,2,7963,164,12,0
1,0,1,0,0,10544,4131,10,6,3,1,10613,179,14,12536,25573,21,8,2,2,9514,28,14,10177,5278,20,5,3,3,8576,166,13,5820,1586,43,1,1,11,6169,9,12,12735,9287,20,1,1,7,10091,188,12,1
